run,freq,val
92,610,697.98
92,680,502.25
92,730,136.31
92,760,67.00
92,810,78.56
92,860,44.90
92,560,86.62
92,585,150.29
92,645,315.92
92,705,192.54
92,900,11.90
92,940,14.29
92,410,20.07
92,435,68.20
92,460,169.16
92,485,104.81
92,510,147.36
92,535,156.86
 
93,610,879.92
93,680,574.98
93,730,191.00
93,760,94.49
93,810,87.96
93,860,59.07
93,560,94.59
93,585,169.86
93,645,362.16
93,705,223.62
93,900,13.68
93,940,16.07
93,410,24.85
93,435,76.39
93,460,187.85
93,485,126.73
93,510,169.78
93,535,178.35
 
94,610,803.84
94,680,438.36
94,730,149.77
94,760,50.68
94,810,75.15
94,860,40.17
94,560,89.11
94,585,155.07
94,645,344.57
94,705,200.76
94,900,13.09
94,940,14.29
94,410,21.03
94,435,70.93
94,460,179.44
94,485,107.67
94,510,160.17
94,535,166.17
 
95,610,18.75
95,680,1.97
95,730,0.84
95,760,0.86
95,810,0.85
95,860,1.18
95,560,6.47
95,585,2.39
95,645,2.86
95,705,0.36
95,900,0.00
95,940,0.00
95,410,0.96
95,435,3.64
95,460,3.74
95,485,6.67
95,510,3.20
95,535,4.30
 
96,610,18.75
96,680,1.97
96,730,0.84
96,760,0.86
96,810,0.85
96,860,0.00
96,560,5.48
96,585,1.91
96,645,2.46
96,705,0.36
96,900,0.00
96,940,0.00
96,410,0.96
96,435,3.64
96,460,2.80
96,485,6.67
96,510,3.20
96,535,3.58
 
97,610,616.39
97,680,103.20
97,730,40.39
97,760,20.62
97,810,39.28
97,860,29.54
97,560,651.64
97,585,713.78
97,645,621.61
97,705,229.69
97,900,26.18
97,940,28.58
97,410,54.48
97,435,164.59
97,460,391.60
97,485,312.53
97,510,605.46
97,535,1036.44
 
98,610,621.90
98,680,194.61
98,730,58.90
98,760,30.06
98,810,64.05
98,860,30.72
98,560,508.27
98,585,558.72
98,645,491.07
98,705,197.18
98,900,20.23
98,940,26.79
98,410,44.93
98,435,124.58
98,460,299.07
98,485,285.85
98,510,484.52
98,535,925.42
 
99,610,651.67
99,680,160.21
99,730,56.37
99,760,28.35
99,810,55.51
99,860,31.90
99,560,587.92
99,585,670.36
99,645,573.32
99,705,242.55
99,900,23.80
99,940,32.15
99,410,51.62
99,435,150.04
99,460,350.47
99,485,310.63
99,510,563.01
99,535,1004.21
 
100,610,405.78
100,680,104.18
100,730,31.13
100,760,16.32
100,810,44.41
100,860,18.90
100,560,696.45
100,585,740.50
100,645,583.14
100,705,278.27
100,900,25.58
100,940,33.04
100,410,50.66
100,435,163.68
100,460,362.62
100,485,317.30
100,510,575.02
100,535,1114.52
 
101,610,15.44
101,680,0.98
101,730,0.84
101,760,0.86
101,810,0.85
101,860,0.00
101,560,6.47
101,585,1.91
101,645,2.46
101,705,0.36
101,900,0.00
101,940,0.00
101,410,0.96
101,435,3.64
101,460,3.74
101,485,6.67
101,510,3.20
101,535,4.30
 
102,610,16.54
102,680,8.85
102,730,4.21
102,760,2.58
102,810,2.56
102,860,0.00
102,560,4.98
102,585,2.86
102,645,4.09
102,705,2.14
102,900,0.00
102,940,0.89
102,410,1.91
102,435,9.09
102,460,4.67
102,485,21.92
102,510,8.01
102,535,16.47
 
103,610,30.87
103,680,4.91
103,730,1.68
103,760,1.72
103,810,1.71
103,860,1.18
103,560,36.84
103,585,39.12
103,645,30.69
103,705,14.29
103,900,1.78
103,940,1.79
103,410,3.82
103,435,31.83
103,460,89.72
103,485,59.08
103,510,76.88
103,535,73.78
 
104,610,29.77
104,680,4.91
104,730,2.52
104,760,1.72
104,810,2.56
104,860,1.18
104,560,33.85
104,585,36.26
104,645,29.46
104,705,17.50
104,900,1.78
104,940,1.79
104,410,3.82
104,435,33.65
104,460,91.59
104,485,55.27
104,510,85.69
104,535,102.43
 
105,610,27.57
105,680,3.93
105,730,1.68
105,760,1.72
105,810,1.71
105,860,1.18
105,560,42.81
105,585,43.90
105,645,33.97
105,705,21.43
105,900,2.38
105,940,2.68
105,410,3.82
105,435,35.47
105,460,105.61
105,485,55.27
105,510,88.90
105,535,111.74
 
106,610,43.00
106,680,7.86
106,730,3.37
106,760,2.58
106,810,3.42
106,860,1.18
106,560,26.88
106,585,30.54
106,645,27.83
106,705,11.79
106,900,1.78
106,940,1.79
106,410,4.78
106,435,33.65
106,460,90.66
106,485,61.94
106,510,88.90
106,535,84.52
 
107,610,20.95
107,680,1.97
107,730,1.68
107,760,0.86
107,810,0.85
107,860,0.00
107,560,6.47
107,585,2.86
107,645,2.86
107,705,0.36
107,900,0.00
107,940,0.00
107,410,1.91
107,435,4.55
107,460,3.74
107,485,6.67
107,510,3.20
107,535,5.01
 
108,610,14.33
108,680,0.98
108,730,0.84
108,760,0.86
108,810,0.85
108,860,0.00
108,560,5.97
108,585,1.91
108,645,2.46
108,705,0.36
